!!! to get the correct grain IDS, don't exclude small grains, put 0 in the box "Excude grains of 0 pixels"
IDgrain,BoundLengthTOT,IDneighbor,BoundLength,Disorientation
1,22,2,5,34.313
1,22,56,4,19.761
1,22,88,3,27.968
1,22,68,10,35.181
2,38,1,5,34.313
2,38,3,7,32.545
2,38,68,9,31.939
2,38,121,3,63.615
2,38,69,13,11.289
2,38,4,1,41.339
3,13,2,7,32.545
3,13,4,6,21.504
4,31,3,6,21.504
4,31,5,9,22.638
4,31,76,10,26.668
4,31,89,3,41.53
4,31,69,2,49.242
4,31,2,1,41.339
5,23,4,9,22.638
5,23,6,10,29.019
5,23,89,3,45.752
5,23,98,1,56.777
6,29,5,10,29.019
6,29,7,3,16.143
6,29,98,6,34.043
6,29,70,6,29.318
6,29,8,4,23.517
7,8,6,3,16.143
7,8,8,5,38.006
8,30,7,5,38.006
8,30,9,7,24.778
8,30,90,5,57.239
8,30,77,5,28.298
8,30,99,1,63.511
8,30,6,4,23.517
8,30,70,3,45.781
9,33,8,7,24.778
9,33,10,6,16.049
9,33,77,1,29.813
9,33,78,4,85.195
9,33,91,4,34.638
9,33,92,2,84.948
9,33,71,9,20.577
10,24,9,6,16.049
10,24,11,3,13.59
10,24,93,4,23.155
10,24,57,9,31.038
10,24,71,2,14.264
11,12,10,3,13.59
11,12,12,4,17.677
11,12,57,4,33.655
11,12,63,1,14.909
12,43,11,4,17.677
12,43,13,13,22.19
12,43,63,3,11.564
12,43,79,9,30.883
12,43,105,7,35.217
12,43,94,7,12.639
13,44,12,13,22.19
13,44,14,2,34.523
13,44,114,14,19.318
13,44,94,2,34.019
13,44,15,8,29.654
13,44,106,4,12.221
13,44,136,1,31.241
14,4,13,2,34.523
14,4,15,2,17.033
15,28,14,2,17.033
15,28,16,4,16.08
15,28,13,8,29.654
15,28,106,5,17.895
15,28,17,5,25.303
15,28,80,3,22.981
15,28,107,1,28.669
16,10,15,4,16.08
16,10,17,6,14.104
17,25,16,6,14.104
17,25,18,5,32.089
17,25,80,5,22.488
17,25,15,5,25.303
17,25,19,4,11.58
18,16,17,5,32.089
18,16,19,11,28.119
19,49,18,11,28.119
19,49,130,9,34.922
19,49,17,4,11.58
19,49,80,2,12.201
19,49,108,8,29.112
19,49,137,5,32.968
19,49,20,9,20.201
19,49,124,1,79.425
20,42,19,9,20.201
20,42,21,6,49.079
20,42,124,2,87.266
20,42,131,7,29.24
20,42,132,3,35.929
20,42,109,10,65.879
20,42,58,5,45.445
21,17,20,6,49.079
21,17,47,5,62.824
21,17,22,1,75.069
21,17,58,5,38.664
22,13,21,1,75.069
22,13,47,9,21.651
22,13,23,3,25.782
23,14,22,3,25.782
23,14,24,2,38.525
23,14,47,3,17.878
23,14,50,6,31.7
24,3,23,2,38.525
24,3,25,1,43.189
25,24,24,1,43.189
25,24,26,5,29.255
25,24,50,13,24.353
25,24,51,5,86.429
26,12,25,5,29.255
26,12,48,2,23.875
26,12,27,1,37.549
26,12,51,4,67.421
27,11,26,1,37.549
27,11,48,7,21.607
27,11,28,3,47.736
28,16,27,3,47.736
28,16,29,5,31.212
28,16,48,3,39.519
28,16,64,2,28.298
28,16,65,3,33.766
29,23,28,5,31.212
29,23,30,6,48.379
29,23,72,9,33.4
29,23,65,1,58.311
29,23,59,2,21.726
30,11,29,6,48.379
30,11,31,4,51.942
30,11,59,1,34.744
31,21,30,4,51.942
31,21,32,3,33.004
31,21,59,4,31.623
31,21,72,2,33.92
31,21,52,8,29.839
32,8,31,3,33.004
32,8,49,3,43.69
32,8,33,1,48.29
32,8,52,1,31.993
33,20,32,1,48.29
33,20,49,1,7.667
33,20,34,5,34.185
33,20,53,7,29.572
33,20,66,6,28.272
34,20,33,5,34.185
34,20,35,5,22.301
34,20,66,3,27.228
34,20,82,2,14.34
34,20,60,5,16.13
35,13,34,5,22.301
35,13,36,3,6.13
35,13,60,1,38.305
35,13,37,4,40.526
36,11,35,3,6.13
36,11,37,8,46.567
37,83,36,8,46.567
37,83,38,6,30.819
37,83,117,22,15.205
37,83,199,1,42.872
37,83,214,2,45.05
37,83,110,3,35.834
37,83,35,4,40.526
37,83,60,5,23.017
37,83,82,7,11.176
37,83,116,2,35.071
37,83,148,4,37.085
37,83,169,12,36.841
37,83,39,2,38.016
37,83,74,5,13.043
38,11,37,6,30.819
38,11,39,5,41.321
39,25,38,5,41.321
39,25,40,8,71.472
39,25,74,8,32.965
39,25,111,2,19.664
39,25,37,2,38.016
40,41,39,8,71.472
40,41,41,2,29.677
40,41,111,8,70.28
40,41,128,2,60.131
40,41,118,8,61.868
40,41,119,4,77.826
40,41,54,5,54.916
40,41,83,4,60.442
41,8,40,2,29.677
